provincias,violencias
Ciudad Autónoma de Buenos Aires,66.0
Ciudad Autónoma de Buenos Aires,100.0
Ciudad Autónoma de Buenos Aires,145.0
Ciudad Autónoma de Buenos Aires,138.0
Ciudad Autónoma de Buenos Aires,118.0
Ciudad Autónoma de Buenos Aires,109.0
Ciudad Autónoma de Buenos Aires,106.0
Ciudad Autónoma de Buenos Aires,102.0
Ciudad Autónoma de Buenos Aires,94.0
Ciudad Autónoma de Buenos Aires,66.0
Ciudad Autónoma de Buenos Aires,113.0
Ciudad Autónoma de Buenos Aires,73.0
Ciudad Autónoma de Buenos Aires,89.0
Ciudad Autónoma de Buenos Aires,102.0
Ciudad Autónoma de Buenos Aires,143.0
Ciudad Autónoma de Buenos Aires,118.0
Ciudad Autónoma de Buenos Aires,103.0
Ciudad Autónoma de Buenos Aires,67.0
Buenos Aires,218.0
Buenos Aires,246.0
Buenos Aires,262.0
Buenos Aires,280.0
Buenos Aires,256.0
Buenos Aires,201.0
Buenos Aires,199.0
Buenos Aires,173.0
Buenos Aires,223.0
Buenos Aires,196.0
Buenos Aires,379.0
Buenos Aires,294.0
Buenos Aires,402.0
Buenos Aires,496.0
Buenos Aires,492.0
Buenos Aires,372.0
Buenos Aires,370.0
Buenos Aires,372.0
Catamarca,40.0
Catamarca,43.0
Catamarca,86.0
Catamarca,43.0
Catamarca,43.0
Catamarca,55.0
Catamarca,17.0
Catamarca,44.0
Catamarca,59.0
Catamarca,42.0
Catamarca,49.0
Catamarca,43.0
Catamarca,38.0
Catamarca,10.0
Catamarca,49.0
Catamarca,34.0
Catamarca,39.0
Catamarca,31.0
Córdoba,131.0
Córdoba,123.0
Córdoba,192.0
Córdoba,144.0
Córdoba,124.0
Córdoba,224.0
Córdoba,214.0
Córdoba,320.0
Córdoba,252.0
Córdoba,293.0
Córdoba,249.0
Córdoba,237.0
Córdoba,216.0
Córdoba,299.0
Córdoba,351.0
Córdoba,258.0
Córdoba,218.0
Córdoba,171.0
Corrientes,5.0
Corrientes,9.0
Corrientes,17.0
Corrientes,19.0
Corrientes,13.0
Corrientes,11.0
Corrientes,8.0
Corrientes,8.0
Corrientes,10.0
Corrientes,14.0
Corrientes,14.0
Corrientes,7.0
Corrientes,10.0
Corrientes,15.0
Corrientes,23.0
Corrientes,14.0
Corrientes,29.0
Corrientes,17.0
Chaco,134.0
Chaco,82.0
Chaco,109.0
Chaco,140.0
Chaco,89.0
Chaco,117.0
Chaco,146.0
Chaco,124.0
Chaco,124.0
Chaco,122.0
Chaco,138.0
Chaco,93.0
Chaco,111.0
Chaco,111.0
Chaco,159.0
Chaco,151.0
Chaco,106.0
Chaco,128.0
Chubut,
Chubut,
Chubut,2.0
Chubut,2.0
Chubut,9.0
Chubut,7.0
Chubut,11.0
Chubut,3.0
Chubut,7.0
Chubut,6.0
Chubut,10.0
Chubut,6.0
Chubut,7.0
Chubut,2.0
Chubut,5.0
Chubut,7.0
Chubut,6.0
Chubut,4.0
Entre Ríos,28.0
Entre Ríos,44.0
Entre Ríos,73.0
Entre Ríos,60.0
Entre Ríos,67.0
Entre Ríos,72.0
Entre Ríos,54.0
Entre Ríos,63.0
Entre Ríos,57.0
Entre Ríos,70.0
Entre Ríos,67.0
Entre Ríos,58.0
Entre Ríos,57.0
Entre Ríos,60.0
Entre Ríos,82.0
Entre Ríos,76.0
Entre Ríos,96.0
Entre Ríos,58.0
Formosa,79.0
Formosa,83.0
Formosa,119.0
Formosa,106.0
