año,intervenciones,violencias
2022.0,37.0,66.0
2022.0,39.0,100.0
2022.0,45.0,145.0
2022.0,68.0,138.0
2022.0,74.0,118.0
2022.0,63.0,109.0
2022.0,74.0,106.0
2022.0,78.0,102.0
2022.0,81.0,94.0
2022.0,61.0,66.0
2022.0,97.0,113.0
2022.0,89.0,73.0
2023.0,85.0,89.0
2023.0,61.0,102.0
2023.0,141.0,143.0
2023.0,93.0,118.0
2023.0,104.0,103.0
2023.0,117.0,67.0
2022.0,287.0,218.0
2022.0,331.0,246.0
2022.0,320.0,262.0
2022.0,359.0,280.0
2022.0,313.0,256.0
2022.0,242.0,201.0
2022.0,239.0,199.0
2022.0,209.0,173.0
2022.0,260.0,223.0
2022.0,242.0,196.0
2022.0,426.0,379.0
2022.0,331.0,294.0
2023.0,477.0,402.0
2023.0,564.0,496.0
2023.0,581.0,492.0
2023.0,421.0,372.0
2023.0,418.0,370.0
2023.0,413.0,372.0
2022.0,53.0,40.0
2022.0,65.0,43.0
2022.0,113.0,86.0
2022.0,66.0,43.0
2022.0,62.0,43.0
2022.0,72.0,55.0
2022.0,33.0,17.0
2022.0,74.0,44.0
2022.0,87.0,59.0
2022.0,71.0,42.0
2022.0,83.0,49.0
2022.0,59.0,43.0
2023.0,62.0,38.0
2023.0,20.0,10.0
2023.0,82.0,49.0
2023.0,48.0,34.0
2023.0,62.0,39.0
2023.0,59.0,31.0
2022.0,134.0,131.0
2022.0,127.0,123.0
2022.0,197.0,192.0
2022.0,154.0,144.0
2022.0,129.0,124.0
2022.0,161.0,224.0
2022.0,141.0,214.0
2022.0,207.0,320.0
2022.0,164.0,252.0
2022.0,177.0,293.0
2022.0,161.0,249.0
2022.0,148.0,237.0
2023.0,142.0,216.0
2023.0,223.0,299.0
2023.0,232.0,351.0
2023.0,164.0,258.0
2023.0,142.0,218.0
2023.0,126.0,171.0
2022.0,7.0,5.0
2022.0,14.0,9.0
2022.0,21.0,17.0
2022.0,39.0,19.0
2022.0,31.0,13.0
2022.0,18.0,11.0
2022.0,17.0,8.0
2022.0,25.0,8.0
2022.0,27.0,10.0
2022.0,21.0,14.0
2022.0,35.0,14.0
2022.0,12.0,7.0
2023.0,14.0,10.0
2023.0,32.0,15.0
2023.0,37.0,23.0
2023.0,31.0,14.0
2023.0,37.0,29.0
2023.0,26.0,17.0
2022.0,215.0,134.0
2022.0,148.0,82.0
2022.0,207.0,109.0
2022.0,193.0,140.0
2022.0,145.0,89.0
2022.0,177.0,117.0
2022.0,213.0,146.0
2022.0,195.0,124.0
2022.0,184.0,124.0
2022.0,206.0,122.0
2022.0,205.0,138.0
2022.0,151.0,93.0
2023.0,168.0,111.0
2023.0,166.0,111.0
2023.0,211.0,159.0
2023.0,237.0,151.0
2023.0,195.0,106.0
2023.0,189.0,128.0
2022.0,0.0,
2022.0,0.0,
2022.0,0.0,2.0
2022.0,2.0,2.0
2022.0,2.0,9.0
2022.0,3.0,7.0
2022.0,5.0,11.0
2022.0,6.0,3.0
2022.0,5.0,7.0
2022.0,5.0,6.0
2022.0,4.0,10.0
2022.0,5.0,6.0
2023.0,1.0,7.0
2023.0,2.0,2.0
2023.0,15.0,5.0
2023.0,15.0,7.0
2023.0,10.0,6.0
2023.0,6.0,4.0
2022.0,34.0,28.0
2022.0,60.0,44.0
2022.0,89.0,73.0
2022.0,81.0,60.0
2022.0,97.0,67.0
2022.0,114.0,72.0
2022.0,105.0,54.0
2022.0,84.0,63.0
2022.0,74.0,57.0
2022.0,86.0,70.0
2022.0,77.0,67.0
2022.0,71.0,58.0
2023.0,85.0,57.0
2023.0,88.0,60.0
2023.0,128.0,82.0
2023.0,93.0,76.0
2023.0,124.0,96.0
2023.0,74.0,58.0
2022.0,78.0,79.0
2022.0,74.0,83.0
2022.0,66.0,119.0
2022.0,68.0,106.0
2022.0,88.0,82.0
2022.0,78.0,79.0
2022.0,127.0,74.0
2022.0,148.0,86.0
2022.0,84.0,49.0
2022.0,21.0,22.0
2022.0,86.0,59.0
2022.0,109.0,75.0
2023.0,115.0,77.0
2023.0,139.0,83.0
2023.0,169.0,118.0
2023.0,129.0,88.0
2023.0,130.0,99.0
2023.0,129.0,67.0
2022.0,62.0,46.0
2022.0,111.0,87.0
2022.0,65.0,75.0
2022.0,124.0,120.0
2022.0,163.0,146.0
2022.0,153.0,153.0
2022.0,164.0,165.0
2022.0,160.0,142.0
2022.0,176.0,182.0
2022.0,192.0,192.0
2022.0,149.0,166.0
2022.0,142.0,134.0
2023.0,118.0,108.0
2023.0,73.0,72.0
2023.0,106.0,106.0
2023.0,119.0,95.0
2023.0,121.0,118.0
2023.0,117.0,110.0
2022.0,16.0,31.0
2022.0,6.0,12.0
2022.0,6.0,11.0
2023.0,5.0,14.0
2023.0,12.0,13.0
2023.0,7.0,6.0
2023.0,8.0,14.0
2023.0,10.0,10.0
2023.0,3.0,5.0
2022.0,3.0,4.0
2022.0,4.0,3.0
2022.0,5.0,5.0
2022.0,12.0,8.0
2022.0,5.0,6.0
2022.0,4.0,3.0
2022.0,4.0,5.0
2022.0,9.0,8.0
2022.0,10.0,10.0
2022.0,15.0,15.0
2022.0,9.0,8.0
2023.0,3.0,7.0
2023.0,9.0,11.0
2023.0,21.0,25.0
2023.0,26.0,25.0
2023.0,30.0,21.0
2023.0,27.0,24.0
2022.0,147.0,177.0
2022.0,117.0,137.0
2022.0,195.0,201.0
2022.0,142.0,157.0
2022.0,137.0,171.0
2022.0,127.0,135.0
2022.0,100.0,111.0
2022.0,140.0,163.0
2022.0,152.0,155.0
2022.0,207.0,143.0
2022.0,166.0,177.0
2022.0,133.0,128.0
2023.0,190.0,191.0
2023.0,163.0,188.0
2023.0,196.0,173.0
2023.0,165.0,158.0
2023.0,134.0,121.0
2023.0,110.0,106.0
2022.0,12.0,19.0
2022.0,2.0,14.0
2022.0,5.0,12.0
2022.0,7.0,8.0
2022.0,7.0,12.0
2022.0,11.0,12.0
2022.0,17.0,14.0
2022.0,23.0,24.0
2022.0,49.0,57.0
2022.0,34.0,44.0
2022.0,46.0,42.0
2022.0,25.0,21.0
2023.0,38.0,42.0
2023.0,48.0,42.0
2023.0,45.0,34.0
2023.0,61.0,40.0
2023.0,42.0,65.0
2023.0,34.0,39.0
2022.0,42.0,63.0
2022.0,62.0,62.0
2022.0,86.0,80.0
2022.0,97.0,125.0
2022.0,92.0,119.0
2022.0,58.0,79.0
2022.0,84.0,109.0
2022.0,95.0,143.0
2022.0,106.0,144.0
2022.0,100.0,138.0
2022.0,97.0,129.0
2022.0,54.0,68.0
2023.0,60.0,75.0
2023.0,56.0,67.0
2023.0,76.0,107.0
2023.0,61.0,80.0
2023.0,118.0,142.0
2023.0,75.0,127.0
2022.0,10.0,12.0
2022.0,8.0,25.0
2022.0,5.0,11.0
2022.0,13.0,21.0
2022.0,11.0,18.0
2022.0,4.0,27.0
2022.0,9.0,26.0
2022.0,6.0,20.0
2022.0,4.0,32.0
2022.0,7.0,21.0
2022.0,19.0,17.0
2022.0,10.0,13.0
2023.0,7.0,12.0
2023.0,13.0,30.0
2023.0,13.0,30.0
2023.0,9.0,23.0
2023.0,7.0,22.0
2023.0,4.0,15.0
2022.0,58.0,57.0
2022.0,39.0,53.0
2022.0,31.0,27.0
2022.0,50.0,47.0
2022.0,46.0,49.0
2022.0,46.0,49.0
2022.0,25.0,26.0
2022.0,34.0,41.0
2022.0,30.0,23.0
2022.0,65.0,63.0
2022.0,48.0,48.0
2022.0,48.0,30.0
2023.0,32.0,25.0
2023.0,54.0,41.0
2023.0,57.0,56.0
2023.0,37.0,27.0
2023.0,52.0,56.0
2023.0,45.0,43.0
2022.0,333.0,282.0
2022.0,343.0,301.0
2022.0,399.0,309.0
2022.0,355.0,300.0
2022.0,351.0,296.0
2022.0,313.0,250.0
2022.0,290.0,232.0
2022.0,395.0,316.0
2022.0,423.0,293.0
2022.0,390.0,299.0
2022.0,441.0,359.0
2022.0,367.0,275.0
2023.0,407.0,297.0
2023.0,428.0,340.0
2023.0,496.0,386.0
2023.0,462.0,350.0
2023.0,470.0,351.0
2023.0,411.0,315.0
2022.0,17.0,10.0
2022.0,2.0,2.0
2022.0,10.0,8.0
2022.0,6.0,4.0
2022.0,4.0,2.0
2022.0,17.0,10.0
2022.0,19.0,17.0
2022.0,13.0,6.0
2022.0,13.0,9.0
2022.0,21.0,14.0
2022.0,19.0,17.0
2022.0,23.0,18.0
2023.0,22.0,24.0
2023.0,19.0,21.0
2023.0,35.0,30.0
2023.0,44.0,42.0
2023.0,22.0,19.0
2023.0,20.0,20.0
2022.0,6.0,3.0
2022.0,12.0,5.0
2022.0,15.0,9.0
2022.0,29.0,17.0
2022.0,21.0,11.0
2022.0,14.0,9.0
2022.0,18.0,5.0
2022.0,12.0,8.0
2022.0,23.0,11.0
2022.0,14.0,8.0
2022.0,34.0,27.0
2022.0,23.0,16.0
2023.0,16.0,13.0
2023.0,21.0,11.0
2023.0,19.0,7.0
2023.0,16.0,5.0
2023.0,17.0,8.0
2023.0,10.0,7.0
2022.0,20.0,34.0
2022.0,30.0,25.0
2022.0,41.0,50.0
2022.0,35.0,43.0
2022.0,27.0,50.0
2022.0,19.0,38.0
2022.0,13.0,22.0
2022.0,24.0,27.0
2022.0,33.0,45.0
2022.0,46.0,42.0
2022.0,41.0,45.0
2022.0,51.0,51.0
2023.0,40.0,43.0
2023.0,77.0,82.0
2023.0,66.0,74.0
2023.0,43.0,60.0
2023.0,64.0,59.0
2023.0,48.0,39.0
2022.0,111.0,66.0
2022.0,62.0,44.0
2022.0,216.0,126.0
2022.0,327.0,117.0
2022.0,204.0,67.0
2022.0,224.0,90.0
2022.0,44.0,18.0
2022.0,310.0,161.0
2022.0,66.0,25.0
2022.0,35.0,20.0
2022.0,46.0,18.0
2022.0,,53.0
2023.0,,38.0
2023.0,,8.0
2023.0,,7.0
2023.0,,196.0
2023.0,,53.0
2023.0,,58.0
,,
,,
