provincias;año;mes;total;intervenciones;violencias
Ciudad Autónoma de Buenos Aires;2022;1;178;37;66
Ciudad Autónoma de Buenos Aires;2022;2;304;39;100
Ciudad Autónoma de Buenos Aires;2022;3;370;45;145
Ciudad Autónoma de Buenos Aires;2022;4;333;68;138
Ciudad Autónoma de Buenos Aires;2022;5;283;74;118
Ciudad Autónoma de Buenos Aires;2022;6;255;63;109
Ciudad Autónoma de Buenos Aires;2022;7;245;74;106
Ciudad Autónoma de Buenos Aires;2022;8;241;78;102
Ciudad Autónoma de Buenos Aires;2022;9;254;81;94
Ciudad Autónoma de Buenos Aires;2022;10;195;61;66
Ciudad Autónoma de Buenos Aires;2022;11;273;97;113
Ciudad Autónoma de Buenos Aires;2022;12;229;89;73
Ciudad Autónoma de Buenos Aires;2023;1;222;85;89
Ciudad Autónoma de Buenos Aires;2023;2;265;61;102
Ciudad Autónoma de Buenos Aires;2023;3;392;141;143
Ciudad Autónoma de Buenos Aires;2023;4;298;93;118
Ciudad Autónoma de Buenos Aires;2023;5;269;104;103
Ciudad Autónoma de Buenos Aires;2023;6;211;117;67
Buenos Aires;2022;1;311;287;218
Buenos Aires;2022;2;372;331;246
Buenos Aires;2022;3;347;320;262
Buenos Aires;2022;4;435;359;280
Buenos Aires;2022;5;388;313;256
Buenos Aires;2022;6;309;242;201
Buenos Aires;2022;7;252;239;199
Buenos Aires;2022;8;225;209;173
Buenos Aires;2022;9;290;260;223
Buenos Aires;2022;10;294;242;196
Buenos Aires;2022;11;481;426;379
Buenos Aires;2022;12;345;331;294
Buenos Aires;2023;1;527;477;402
Buenos Aires;2023;2;636;564;496
Buenos Aires;2023;3;667;581;492
Buenos Aires;2023;4;506;421;372
Buenos Aires;2023;5;509;418;370
Buenos Aires;2023;6;524;413;372
Catamarca;2022;1;58;53;40
Catamarca;2022;2;69;65;43
Catamarca;2022;3;149;113;86
Catamarca;2022;4;85;66;43
Catamarca;2022;5;87;62;43
Catamarca;2022;6;103;72;55
Catamarca;2022;7;54;33;17
Catamarca;2022;8;119;74;44
Catamarca;2022;9;112;87;59
Catamarca;2022;10;92;71;42
Catamarca;2022;11;102;83;49
Catamarca;2022;12;69;59;43
Catamarca;2023;1;68;62;38
Catamarca;2023;2;24;20;10
Catamarca;2023;3;92;82;49
Catamarca;2023;4;58;48;34
Catamarca;2023;5;68;62;39
Catamarca;2023;6;66;59;31
Córdoba;2022;1;134;134;131
Córdoba;2022;2;127;127;123
Córdoba;2022;3;197;197;192
Córdoba;2022;4;154;154;144
Córdoba;2022;5;129;129;124
Córdoba;2022;6;491;161;224
Córdoba;2022;7;495;141;214
Córdoba;2022;8;747;207;320
Córdoba;2022;9;647;164;252
Córdoba;2022;10;693;177;293
Córdoba;2022;11;706;161;249
Córdoba;2022;12;684;148;237
Córdoba;2023;1;701;142;216
Córdoba;2023;2;788;223;299
Córdoba;2023;3;906;232;351
Córdoba;2023;4;729;164;258
Córdoba;2023;5;722;142;218
Córdoba;2023;6;643;126;171
Corrientes;2022;1;9;7;5
Corrientes;2022;2;15;14;9
Corrientes;2022;3;32;21;17
Corrientes;2022;4;86;39;19
Corrientes;2022;5;42;31;13
Corrientes;2022;6;23;18;11
Corrientes;2022;7;19;17;8
Corrientes;2022;8;30;25;8
Corrientes;2022;9;28;27;10
Corrientes;2022;10;24;21;14
Corrientes;2022;11;42;35;14
Corrientes;2022;12;13;12;7
Corrientes;2023;1;14;14;10
Corrientes;2023;2;34;32;15
Corrientes;2023;3;39;37;23
Corrientes;2023;4;34;31;14
Corrientes;2023;5;52;37;29
Corrientes;2023;6;26;26;17
Chaco;2022;1;276;215;134
Chaco;2022;2;176;148;82
Chaco;2022;3;220;207;109
Chaco;2022;4;279;193;140
Chaco;2022;5;192;145;89
Chaco;2022;6;266;177;117
Chaco;2022;7;306;213;146
Chaco;2022;8;268;195;124
Chaco;2022;9;263;184;124
Chaco;2022;10;264;206;122
Chaco;2022;11;281;205;138
Chaco;2022;12;212;151;93
Chaco;2023;1;235;168;111
Chaco;2023;2;231;166;111
Chaco;2023;3;321;211;159
Chaco;2023;4;330;237;151
Chaco;2023;5;279;195;106
Chaco;2023;6;280;189;128
Chubut;2022;1;2;0;
Chubut;2022;2;1;0;
Chubut;2022;3;9;0;2
Chubut;2022;4;14;2;2
Chubut;2022;5;20;2;9
