provincias,total
Ciudad Autónoma de Buenos Aires,178.0
Ciudad Autónoma de Buenos Aires,304.0
Ciudad Autónoma de Buenos Aires,370.0
Ciudad Autónoma de Buenos Aires,333.0
Ciudad Autónoma de Buenos Aires,283.0
Ciudad Autónoma de Buenos Aires,255.0
Ciudad Autónoma de Buenos Aires,245.0
Ciudad Autónoma de Buenos Aires,241.0
Ciudad Autónoma de Buenos Aires,254.0
Ciudad Autónoma de Buenos Aires,195.0
Ciudad Autónoma de Buenos Aires,273.0
Ciudad Autónoma de Buenos Aires,229.0
Ciudad Autónoma de Buenos Aires,222.0
Ciudad Autónoma de Buenos Aires,265.0
Ciudad Autónoma de Buenos Aires,392.0
Ciudad Autónoma de Buenos Aires,298.0
Ciudad Autónoma de Buenos Aires,269.0
Ciudad Autónoma de Buenos Aires,211.0
Buenos Aires,311.0
Buenos Aires,372.0
Buenos Aires,347.0
Buenos Aires,435.0
Buenos Aires,388.0
Buenos Aires,309.0
Buenos Aires,252.0
Buenos Aires,225.0
Buenos Aires,290.0
Buenos Aires,294.0
Buenos Aires,481.0
Buenos Aires,345.0
Buenos Aires,527.0
Buenos Aires,636.0
Buenos Aires,667.0
Buenos Aires,506.0
Buenos Aires,509.0
Buenos Aires,524.0
Catamarca,58.0
Catamarca,69.0
Catamarca,149.0
Catamarca,85.0
Catamarca,87.0
Catamarca,103.0
Catamarca,54.0
Catamarca,119.0
Catamarca,112.0
Catamarca,92.0
Catamarca,102.0
Catamarca,69.0
Catamarca,68.0
Catamarca,24.0
Catamarca,92.0
Catamarca,58.0
Catamarca,68.0
Catamarca,66.0
Córdoba,134.0
Córdoba,127.0
Córdoba,197.0
Córdoba,154.0
Córdoba,129.0
Córdoba,491.0
Córdoba,495.0
Córdoba,747.0
Córdoba,647.0
Córdoba,693.0
Córdoba,706.0
Córdoba,684.0
Córdoba,701.0
Córdoba,788.0
Córdoba,906.0
Córdoba,729.0
Córdoba,722.0
Córdoba,643.0
Corrientes,9.0
Corrientes,15.0
Corrientes,32.0
Corrientes,86.0
Corrientes,42.0
Corrientes,23.0
Corrientes,19.0
Corrientes,30.0
Corrientes,28.0
Corrientes,24.0
Corrientes,42.0
Corrientes,13.0
Corrientes,14.0
Corrientes,34.0
Corrientes,39.0
Corrientes,34.0
Corrientes,52.0
Corrientes,26.0
Chaco,276.0
Chaco,176.0
Chaco,220.0
Chaco,279.0
Chaco,192.0
Chaco,266.0
Chaco,306.0
Chaco,268.0
Chaco,263.0
Chaco,264.0
Chaco,281.0
Chaco,212.0
Chaco,235.0
Chaco,231.0
Chaco,321.0
Chaco,330.0
Chaco,279.0
Chaco,280.0
Chubut,2.0
Chubut,1.0
Chubut,9.0
Chubut,14.0
Chubut,20.0
Chubut,15.0
Chubut,39.0
Chubut,20.0
Chubut,21.0
Chubut,19.0
Chubut,20.0
Chubut,15.0
Chubut,13.0
Chubut,22.0
Chubut,29.0
Chubut,38.0
Chubut,24.0
Chubut,17.0
Entre Ríos,102.0
Entre Ríos,107.0
Entre Ríos,151.0
Entre Ríos,139.0
Entre Ríos,160.0
Entre Ríos,153.0
Entre Ríos,143.0
Entre Ríos,133.0
Entre Ríos,134.0
Entre Ríos,169.0
Entre Ríos,163.0
Entre Ríos,153.0
Entre Ríos,165.0
Entre Ríos,165.0
Entre Ríos,214.0
Entre Ríos,183.0
Entre Ríos,249.0
Entre Ríos,152.0
Formosa,142.0
Formosa,162.0
Formosa,213.0
Formosa,211.0
Formosa,203.0
Formosa,196.0
Formosa,166.0
Formosa,183.0
Formosa,107.0
Formosa,73.0
Formosa,138.0
Formosa,151.0
Formosa,157.0
Formosa,170.0
Formosa,219.0
Formosa,178.0
Formosa,178.0
Formosa,150.0
Jujuy,91.0
Jujuy,170.0
Jujuy,130.0
Jujuy,215.0
Jujuy,275.0
Jujuy,275.0
Jujuy,321.0
Jujuy,277.0
Jujuy,352.0
Jujuy,369.0
Jujuy,325.0
Jujuy,265.0
Jujuy,214.0
Jujuy,144.0
Jujuy,204.0
Jujuy,234.0
Jujuy,244.0
Jujuy,250.0
La Pampa,48.0
La Pampa,18.0
La Pampa,14.0
La Pampa,20.0
La Pampa,17.0
La Pampa,14.0
La Pampa,18.0
La Pampa,14.0
La Pampa,9.0
La Rioja,4.0
La Rioja,4.0
La Rioja,8.0
La Rioja,12.0
La Rioja,7.0
La Rioja,5.0
La Rioja,6.0
La Rioja,9.0
La Rioja,13.0
La Rioja,20.0
La Rioja,12.0
La Rioja,8.0
La Rioja,14.0
La Rioja,31.0
La Rioja,34.0
La Rioja,40.0
La Rioja,35.0
Mendoza,300.0
Mendoza,297.0
Mendoza,412.0
Mendoza,339.0
Mendoza,356.0
